Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
1881,-70,-47,-27,-17,-1,-100,-43,-24,-28,-38,-46,0,-37,-40,-53,-15,-56,-38,1881
1882,20,-4,-6,-56,-36,-94,-62,-13,-5,-27,-35,-59,-31,-26,5,-33,-56,-22,1882
1883,-63,-89,-38,-21,-29,42,6,-4,-35,-52,-59,-25,-31,-33,-70,-29,15,-49,1883
1884,-48,-21,-34,-83,-106,-69,-78,21,-32,-73,-74,-91,-57,-52,-31,-74,-42,-60,1884
1885,-85,-71,-84,-80,-45,-87,-56,-12,-13,0,-30,13,-46,-55,-82,-70,-52,-14,1885
1886,-63,-70,-60,-52,-50,-68,-32,-64,-34,-79,-48,-68,-57,-51,-40,-54,-55,-54,1886
1887,-81,-115,-51,-73,-80,-62,-43,-31,-59,-42,-82,-61,-65,-66,-88,-68,-45,-61,1887
1888,-68,-73,-82,-22,-67,-45,-28,-28,-35,-19,-3,-6,-40,-44,-67,-57,-34,-19,1888
1889,-24,21,11,17,15,-25,-40,-58,-36,-20,-42,-39,-18,-16,-3,14,-41,-33,1889
1890,-65,-64,-61,-50,-88,-54,-58,-60,-36,-28,-74,-54,-58,-56,-56,-66,-57,-46,1890
1891,-100,-111,-55,-66,-47,-58,-73,-59,-54,-58,-55,-3,-61,-66,-88,-56,-63,-56,1891
1892,-65,-35,-58,-71,-67,-57,-38,-27,-52,-39,-63,-66,-53,-48,-34,-65,-41,-51,1892
1893,-145,-101,-62,-67,-73,-69,-13,-32,-27,-11,-18,-45,-55,-57,-104,-67,-38,-19,1893
1894,-82,-69,-46,-69,-68,-49,-37,-33,-48,-10,-16,-18,-45,-48,-65,-61,-40,-25,1894
1895,-70,-83,-52,-47,-38,-31,-55,-19,-17,-7,-13,-8,-37,-38,-57,-46,-35,-12,1895
1896,-27,-34,-59,-51,-49,-47,-24,-43,-15,-7,-50,-24,-36,-34,-23,-53,-38,-24,1896
1897,-29,-53,-39,-16,-31,-24,-14,-34,-25,-31,-9,-34,-28,-27,-35,-29,-24,-22,1897
1898,-23,-55,-87,-59,-73,-38,-42,-33,-13,-52,-59,-31,-47,-47,-37,-73,-38,-41,1898
1899,-52,-66,-47,-34,-49,-63,-36,-39,-12,-37,-11,-25,-39,-40,-49,-43,-46,-20,1899
1900,-55,-6,-19,-19,-21,-17,-39,-23,-14,11,-13,-10,-19,-20,-29,-20,-26,-5,1900
1901,-33,-15,-18,-18,-27,0,-34,-29,-5,-20,-16,-23,-20,-19,-19,-21,-21,-14,1901
1902,-34,-6,-22,-20,-35,-41,-47,-55,-45,-52,-51,-56,-39,-36,-21,-26,-47,-49,1902
1903,-34,-13,-17,-53,-43,-63,-30,-42,-45,-51,-47,-60,-42,-41,-35,-38,-45,-48,1903
1904,-81,-76,-54,-45,-67,-43,-60,-50,-47,-55,-26,-38,-53,-55,-72,-55,-51,-43,1904
1905,-42,-97,-25,-33,-36,-37,-44,-29,-28,-39,-10,-27,-37,-38,-59,-31,-37,-26,1905
1906,-19,-37,-34,5,-21,-22,-23,-21,-32,-23,-58,-27,-26,-26,-28,-17,-22,-38,1906
1907,-52,-69,-48,-62,-67,-67,-43,-58,-43,-35,-61,-66,-56,-53,-49,-59,-56,-47,1907
1908,-38,-34,-53,-46,-33,-43,-40,-42,-20,-44,-60,-42,-41,-43,-46,-44,-42,-41,1908
1909,-76,-62,-50,-62,-59,-42,-34,-11,-23,-20,-19,-53,-43,-42,-60,-57,-29,-21,1909
1910,-46,-38,-45,-33,-27,-38,-20,-14,-13,-35,-51,-66,-35,-34,-46,-35,-24,-33,1910
1911,-63,-64,-60,-51,-40,-43,-19,-26,-27,-18,-15,-25,-38,-41,-64,-51,-29,-20,1911
1912,-19,-13,-42,-36,-28,-24,-48,-63,-40,-53,-50,-35,-38,-37,-19,-35,-45,-47,1912
1913,-44,-51,-61,-33,-64,-59,-25,-23,-23,-34,-21,0,-37,-39,-43,-53,-36,-26,1913
1914,14,-5,-7,-19,-3,-12,-26,-14,-13,9,-35,-23,-11,-9,3,-10,-17,-13,1914
1915,-20,3,-14,-3,-19,-21,7,-17,1,-10,4,-14,-9,-9,-13,-12,-10,-2,1915
1916,-11,-11,-43,-30,-37,-45,-31,-10,-14,-19,-40,-77,-31,-26,-12,-37,-29,-25,1916
